player,balls_Faced,dots,singles,doubles,triples,fours,sixes,wickets,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob,dots_conc,singles_conc,doubles_conc,triples_conc,fours_conc,sixes_conc,wickets_conc,balls_bowled,dot_conc_prob,sing_conc_prob,doub_conc_prob,trip_conc_prob,four_conc_prob,six_conc_prob,wkt_conc_prob,Present_league
Gautam Gambhir,3404,1101,1352,249,15,492,59,136,0.323443008,0.397179788,0.073149236,0.00440658,0.14453584,0.01733255,0.039952996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Brad Hogg,22,2,14,2,0,1,0,3,0.090909091,0.636363636,0.090909091,0,0.045454545,0,0.136363636,136,196,34,3,39,21,23,452,0.300884956,0.433628319,0.075221239,0.006637168,0.086283186,0.046460177,0.050884956,222
Graeme Smith,668,271,228,39,1,94,9,26,0.405688623,0.341317365,0.058383234,0.001497006,0.140718563,0.013473054,0.038922156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Glenn McGrath,5,3,0,0,0,1,0,1,0.6,0,0,0,0.2,0,0.2,141,103,11,1,41,10,12,319,0.44200627,0.322884013,0.034482759,0.003134796,0.128526646,0.031347962,0.037617555,222
Hanuma Vihari,321,116,137,23,1,23,1,20,0.361370717,0.426791277,0.07165109,0.003115265,0.07165109,0.003115265,0.062305296,16,17,2,0,5,1,1,42,0.380952381,0.404761905,0.047619048,0,0.119047619,0.023809524,0.023809524,222
George Bailey,544,172,222,44,1,59,19,27,0.316176471,0.408088235,0.080882353,0.001838235,0.108455882,0.034926471,0.049632353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Glenn Maxwell,867,260,280,64,1,110,91,61,0.29988466,0.32295271,0.073817762,0.001153403,0.126874279,0.104959631,0.070357555,111,197,33,0,39,32,16,428,0.259345794,0.460280374,0.077102804,0,0.091121495,0.074766355,0.037383178,23
Graham Napier,16,6,5,3,0,1,0,1,0.375,0.3125,0.1875,0,0.0625,0,0.0625,7,11,1,0,2,1,1,23,0.304347826,0.47826087,0.043478261,0,0.086956522,0.043478261,0.043478261,222
Gurkeerat Singh,342,94,146,20,0,47,11,24,0.274853801,0.426900585,0.058479532,0,0.137426901,0.032163743,0.070175439,21,40,6,1,6,3,5,82,0.256097561,0.487804878,0.073170732,0.012195122,0.073170732,0.036585366,0.06097561,23
Harpreet Brar,12,3,6,0,0,2,1,0,0.25,0.5,0,0,0.166666667,0.083333333,0,7,16,1,0,3,3,0,30,0.233333333,0.533333333,0.033333333,0,0.1,0.1,0,222
Halhadar Das,5,2,2,0,0,0,0,1,0.4,0.4,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Harry Gurney,5,4,1,0,0,0,0,0,0.8,0.2,0,0,0,0,0,43,72,16,0,23,7,7,168,0.255952381,0.428571429,0.095238095,0,0.136904762,0.041666667,0.041666667,222
Heinrich Klaasen,57,14,24,8,0,5,1,5,0.245614035,0.421052632,0.140350877,0,0.087719298,0.01754386,0.087719298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Hardus Viljoen,7,3,1,1,0,0,0,2,0.428571429,0.142857143,0.142857143,0,0,0,0.285714286,36,54,12,1,25,6,7,141,0.255319149,0.382978723,0.085106383,0.007092199,0.177304965,0.042553191,0.04964539,28
Harbhajan Singh,600,197,193,34,0,79,42,55,0.328333333,0.321666667,0.056666667,0,0.131666667,0.07,0.091666667,1094,1519,190,15,289,142,150,3399,0.32185937,0.446896146,0.055898794,0.004413063,0.085025007,0.041776993,0.044130627,45
Harmeet Singh,12,1,2,2,0,3,0,4,0.083333333,0.166666667,0.166666667,0,0.25,0,0.333333333,163,218,42,0,65,20,26,534,0.305243446,0.4082397,0.078651685,0,0.121722846,0.037453184,0.048689139,222
Harpreet Singh,26,6,16,2,0,0,0,2,0.230769231,0.615384615,0.076923077,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Herschelle Gibbs,806,348,264,45,3,83,31,32,0.431761787,0.327543424,0.055831266,0.003722084,0.102977667,0.038461538,0.039702233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Hardik Pandya,689,192,276,41,3,72,68,37,0.278664731,0.400580552,0.059506531,0.004354136,0.104499274,0.098693759,0.053701016,245,377,55,2,115,58,42,894,0.274049217,0.421700224,0.061521253,0.002237136,0.128635347,0.064876957,0.046979866,11
Hashim Amla,407,126,164,22,1,60,21,13,0.30958231,0.402948403,0.054054054,0.002457002,0.147420147,0.051597052,0.031941032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Harshal Patel,69,8,35,3,0,3,9,11,0.115942029,0.507246377,0.043478261,0,0.043478261,0.130434783,0.15942029,245,331,62,1,115,47,43,844,0.29028436,0.392180095,0.073459716,0.001184834,0.136255924,0.055687204,0.050947867,10
