crr_ran,over,wickets_fell,total_Score_range,dot,sing,doub,triple,four,six,wicket,total,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob
0 to 5,15,8,60 to 70,8,1,2,0,1,0,0,12,0.666666667,0.083333333,0.166666667,0,0.083333333,0,0
0 to 5,15,8,70 to 80,1,2,0,0,0,1,0,4,0.25,0.5,0,0,0,0.25,0
0 to 5,15,8,60 to 70,1,2,0,0,0,0,1,4,0.25,0.5,0,0,0,0,0.25
0 to 5,15,8,70 to 80,2,0,0,0,0,0,1,3,0.666666667,0,0,0,0,0,0.333333333
0 to 5,15,9,70 to 80,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0 to 5,16,4,60 to 70,1,1,0,0,0,0,0,2,0.5,0.5,0,0,0,0,0
0 to 5,16,4,70 to 80,4,3,0,0,0,0,0,7,0.571428571,0.428571429,0,0,0,0,0
0 to 5,16,4,60 to 70,1,0,0,0,1,0,1,3,0.333333333,0,0,0,0.333333333,0,0.333333333
0 to 5,16,4,70 to 80,9,15,3,0,1,0,1,29,0.310344828,0.517241379,0.103448276,0,0.034482759,0,0.034482759
0 to 5,16,5,80 to 90,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0 to 5,16,6,60 to 70,1,2,0,0,0,0,0,3,0.333333333,0.666666667,0,0,0,0,0
0 to 5,16,5,70 to 80,7,9,1,0,2,1,1,21,0.333333333,0.428571429,0.047619048,0,0.095238095,0.047619048,0.047619048
0 to 5,16,6,60 to 70,2,4,0,0,0,0,1,7,0.285714286,0.571428571,0,0,0,0,0.142857143
0 to 5,16,6,70 to 80,9,16,0,0,1,0,2,28,0.321428571,0.571428571,0,0,0.035714286,0,0.071428571
0 to 5,16,7,60 to 70,4,6,0,0,0,0,1,11,0.363636364,0.545454545,0,0,0,0,0.090909091
0 to 5,16,7,70 to 80,1,1,0,0,0,0,1,3,0.333333333,0.333333333,0,0,0,0,0.333333333
0 to 5,16,9,60 to 70,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0 to 5,16,8,70 to 80,2,0,1,0,0,0,1,4,0.5,0,0.25,0,0,0,0.25
0 to 5,16,9,60 to 70,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0 to 5,16,9,70 to 80,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0 to 5,17,4,80 to 90,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0 to 5,17,5,70 to 80,2,7,0,0,1,0,0,10,0.2,0.7,0,0,0.1,0,0
0 to 5,17,5,80 to 90,2,2,1,0,0,0,0,5,0.4,0.4,0.2,0,0,0,0
0 to 5,17,5,70 to 80,5,4,0,0,0,0,1,10,0.5,0.4,0,0,0,0,0.1
0 to 5,17,6,80 to 90,0,1,1,0,0,0,0,2,0,0.5,0.5,0,0,0,0
0 to 5,17,6,70 to 80,9,7,1,0,1,0,2,20,0.45,0.35,0.05,0,0.05,0,0.1
