crr_ran,total_Score_range,total,dot,sing,doub,triple,four,six,wicket,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob
9.5 to 10,80 to 90,117,23,46,10,1,19,11,7,0.19658119658119658,0.39316239316239315,0.08547008547008547,0.008547008547008548,0.1623931623931624,0.09401709401709402,0.05982905982905983
8.5 to 9,30 to 40,120,33,27,14,1,26,14,5,0.275,0.225,0.11666666666666667,0.008333333333333333,0.21666666666666667,0.11666666666666667,0.041666666666666664
10 to 11,120 to 130,122,29,53,9,0,16,11,4,0.23770491803278687,0.4344262295081967,0.07377049180327869,0.0,0.13114754098360656,0.09016393442622951,0.03278688524590164
10 to 11,140 to 150,124,18,47,10,0,23,16,10,0.14516129032258066,0.3790322580645161,0.08064516129032258,0.0,0.18548387096774194,0.12903225806451613,0.08064516129032258
10 to 11,130 to 140,125,27,50,10,1,8,21,8,0.216,0.4,0.08,0.008,0.064,0.168,0.064
8 to 8.5,20 to 30,128,31,25,19,5,28,8,12,0.2421875,0.1953125,0.1484375,0.0390625,0.21875,0.0625,0.09375
0 to 5,80 to 90,130,54,48,7,1,5,3,12,0.4153846153846154,0.36923076923076925,0.05384615384615385,0.007692307692307693,0.038461538461538464,0.023076923076923078,0.09230769230769231
9 to 9.5,30 to 40,132,33,34,10,1,32,15,7,0.25,0.25757575757575757,0.07575757575757576,0.007575757575757576,0.24242424242424243,0.11363636363636363,0.05303030303030303
10 to 11,110 to 120,133,30,58,6,2,17,12,8,0.22556390977443608,0.43609022556390975,0.045112781954887216,0.015037593984962405,0.12781954887218044,0.09022556390977443,0.06015037593984962
9.5 to 10,50 to 60,133,36,38,8,1,32,13,5,0.2706766917293233,0.2857142857142857,0.06015037593984962,0.007518796992481203,0.24060150375939848,0.09774436090225563,0.03759398496240601
9.5 to 10,110 to 120,135,31,49,16,1,18,14,6,0.22962962962962963,0.362962962962963,0.11851851851851852,0.007407407407407408,0.13333333333333333,0.1037037037037037,0.044444444444444446
9.5 to 10,60 to 70,136,34,55,14,1,20,9,3,0.25,0.40441176470588236,0.10294117647058823,0.007352941176470588,0.14705882352941177,0.0661764705882353,0.022058823529411766
7.5 to 8,20 to 30,137,38,32,15,1,31,8,12,0.2773722627737226,0.23357664233576642,0.10948905109489052,0.0072992700729927005,0.22627737226277372,0.058394160583941604,0.08759124087591241
10 to 11,40 to 50,138,37,39,10,1,30,16,5,0.26811594202898553,0.2826086956521739,0.07246376811594203,0.007246376811594203,0.21739130434782608,0.11594202898550725,0.036231884057971016
9.5 to 10,120 to 130,138,24,59,10,0,19,17,9,0.17391304347826086,0.427536231884058,0.07246376811594203,0.0,0.13768115942028986,0.12318840579710146,0.06521739130434782
10 to 11,100 to 110,142,24,72,12,0,16,10,8,0.16901408450704225,0.5070422535211268,0.08450704225352113,0.0,0.11267605633802817,0.07042253521126761,0.056338028169014086
10 to 11,70 to 80,142,35,62,7,0,19,12,7,0.24647887323943662,0.43661971830985913,0.04929577464788732,0.0,0.13380281690140844,0.08450704225352113,0.04929577464788732
9.5 to 10,130 to 140,142,29,63,11,1,21,13,4,0.20422535211267606,0.44366197183098594,0.07746478873239436,0.007042253521126761,0.14788732394366197,0.09154929577464789,0.028169014084507043
10 to 11,150 to 160,146,15,55,16,1,31,18,10,0.10273972602739725,0.3767123287671233,0.1095890410958904,0.00684931506849315,0.21232876712328766,0.1232876712328767,0.0684931506849315
10 to 11,160 to 170,146,27,60,19,0,19,14,7,0.18493150684931506,0.410958904109589,0.13013698630136986,0.0,0.13013698630136986,0.0958904109589041,0.04794520547945205
5 to 6,110 to 120,152,27,66,14,1,12,5,27,0.17763157894736842,0.4342105263157895,0.09210526315789473,0.006578947368421052,0.07894736842105263,0.03289473684210526,0.17763157894736842
10 to 11,50 to 60,157,40,43,9,1,40,17,7,0.25477707006369427,0.27388535031847133,0.05732484076433121,0.006369426751592357,0.25477707006369427,0.10828025477707007,0.044585987261146494
9.5 to 10,140 to 150,158,26,53,15,0,29,26,9,0.16455696202531644,0.33544303797468356,0.0949367088607595,0.0,0.18354430379746836,0.16455696202531644,0.056962025316455694
9.5 to 10,190 to 200,165,21,54,26,0,29,14,21,0.12727272727272726,0.32727272727272727,0.15757575757575756,0.0,0.17575757575757575,0.08484848484848485,0.12727272727272726
10 to 11,60 to 70,172,48,56,12,0,33,15,8,0.27906976744186046,0.32558139534883723,0.06976744186046512,0.0,0.19186046511627908,0.0872093023255814,0.046511627906976744
10 to 11,200 to 210,176,18,50,18,2,35,37,16,0.10227272727272728,0.2840909090909091,0.10227272727272728,0.011363636363636364,0.19886363636363635,0.21022727272727273,0.09090909090909091
9 to 9.5,40 to 50,179,48,44,15,4,35,17,16,0.2681564245810056,0.24581005586592178,0.08379888268156424,0.0223463687150838,0.19553072625698323,0.09497206703910614,0.0893854748603352
8 to 8.5,30 to 40,181,43,45,20,4,40,17,12,0.23756906077348067,0.24861878453038674,0.11049723756906077,0.022099447513812154,0.22099447513812154,0.09392265193370165,0.06629834254143646
7 to 7.5,20 to 30,183,50,42,18,2,37,21,13,0.273224043715847,0.22950819672131148,0.09836065573770492,0.01092896174863388,0.20218579234972678,0.11475409836065574,0.07103825136612021
8.5 to 9,40 to 50,183,54,48,13,2,40,16,10,0.29508196721311475,0.26229508196721313,0.07103825136612021,0.01092896174863388,0.2185792349726776,0.08743169398907104,0.0546448087431694
9 to 9.5,70 to 80,187,48,71,23,0,25,16,4,0.25668449197860965,0.37967914438502676,0.12299465240641712,0.0,0.13368983957219252,0.0855614973262032,0.0213903743315508
9.5 to 10,150 to 160,187,33,74,12,0,28,25,15,0.17647058823529413,0.39572192513368987,0.06417112299465241,0.0,0.1497326203208556,0.13368983957219252,0.08021390374331551
9 to 9.5,50 to 60,189,50,60,13,0,39,15,12,0.26455026455026454,0.31746031746031744,0.06878306878306878,0.0,0.20634920634920634,0.07936507936507936,0.06349206349206349
10 to 11,170 to 180,192,26,68,21,1,28,30,18,0.13541666666666666,0.3541666666666667,0.109375,0.005208333333333333,0.14583333333333334,0.15625,0.09375
9 to 9.5,60 to 70,199,51,77,19,1,29,8,14,0.2562814070351759,0.3869346733668342,0.09547738693467336,0.005025125628140704,0.1457286432160804,0.04020100502512563,0.07035175879396985
9 to 9.5,80 to 90,199,53,77,15,0,29,19,6,0.2663316582914573,0.3869346733668342,0.07537688442211055,0.0,0.1457286432160804,0.09547738693467336,0.03015075376884422
9.5 to 10,170 to 180,214,29,84,26,0,33,25,17,0.13551401869158877,0.3925233644859813,0.12149532710280374,0.0,0.1542056074766355,0.11682242990654206,0.0794392523364486
10 to 11,180 to 190,215,30,81,20,4,34,25,21,0.13953488372093023,0.3767441860465116,0.09302325581395349,0.018604651162790697,0.15813953488372093,0.11627906976744186,0.09767441860465116
8.5 to 9,50 to 60,215,65,68,22,4,34,11,11,0.3023255813953488,0.31627906976744186,0.10232558139534884,0.018604651162790697,0.15813953488372093,0.05116279069767442,0.05116279069767442
9 to 9.5,90 to 100,216,45,89,23,0,29,23,7,0.20833333333333334,0.41203703703703703,0.10648148148148148,0.0,0.13425925925925927,0.10648148148148148,0.032407407407407406
7.5 to 8,30 to 40,217,56,51,24,1,53,18,14,0.25806451612903225,0.2350230414746544,0.11059907834101383,0.004608294930875576,0.24423963133640553,0.08294930875576037,0.06451612903225806
9 to 9.5,100 to 110,221,46,90,26,1,29,15,14,0.2081447963800905,0.4072398190045249,0.11764705882352941,0.004524886877828055,0.13122171945701358,0.06787330316742081,0.06334841628959276
9.5 to 10,160 to 170,227,35,92,23,2,34,24,17,0.15418502202643172,0.4052863436123348,0.1013215859030837,0.00881057268722467,0.14977973568281938,0.10572687224669604,0.07488986784140969
0 to 5,70 to 80,228,88,96,10,1,9,4,20,0.38596491228070173,0.42105263157894735,0.043859649122807015,0.0043859649122807015,0.039473684210526314,0.017543859649122806,0.08771929824561403
8.5 to 9,60 to 70,239,59,90,21,4,34,17,14,0.24686192468619247,0.37656903765690375,0.08786610878661087,0.016736401673640166,0.14225941422594143,0.07112970711297072,0.058577405857740586
9 to 9.5,110 to 120,241,51,101,22,2,38,16,11,0.21161825726141079,0.4190871369294606,0.0912863070539419,0.008298755186721992,0.15767634854771784,0.06639004149377593,0.04564315352697095
10 to 11,190 to 200,243,32,83,25,1,43,35,24,0.13168724279835392,0.34156378600823045,0.102880658436214,0.00411522633744856,0.17695473251028807,0.1440329218106996,0.09876543209876543
8 to 8.5,40 to 50,247,70,59,25,4,48,22,19,0.2834008097165992,0.2388663967611336,0.10121457489878542,0.016194331983805668,0.19433198380566802,0.08906882591093117,0.07692307692307693
7 to 7.5,30 to 40,251,77,68,26,2,47,17,14,0.30677290836653387,0.27091633466135456,0.10358565737051793,0.00796812749003984,0.18725099601593626,0.06772908366533864,0.055776892430278883
9 to 9.5,120 to 130,251,52,98,23,1,37,28,12,0.20717131474103587,0.3904382470119522,0.09163346613545817,0.00398406374501992,0.14741035856573706,0.11155378486055777,0.04780876494023904
9 to 9.5,140 to 150,251,49,109,21,0,23,29,20,0.1952191235059761,0.4342629482071713,0.08366533864541832,0.0,0.09163346613545817,0.11553784860557768,0.0796812749003984
9.5 to 10,180 to 190,252,34,98,32,4,37,26,21,0.1349206349206349,0.3888888888888889,0.12698412698412698,0.015873015873015872,0.14682539682539683,0.10317460317460317,0.08333333333333333
9 to 9.5,150 to 160,257,37,103,28,1,40,30,18,0.14396887159533073,0.40077821011673154,0.10894941634241245,0.0038910505836575876,0.1556420233463035,0.11673151750972763,0.07003891050583658
8 to 8.5,50 to 60,267,80,89,30,1,39,12,16,0.299625468164794,0.3333333333333333,0.11235955056179775,0.003745318352059925,0.14606741573033707,0.0449438202247191,0.0599250936329588
9 to 9.5,180 to 190,271,21,89,39,3,43,39,37,0.07749077490774908,0.3284132841328413,0.14391143911439114,0.01107011070110701,0.15867158671586715,0.14391143911439114,0.13653136531365315
9 to 9.5,160 to 170,272,38,103,23,1,47,36,24,0.13970588235294118,0.3786764705882353,0.08455882352941177,0.003676470588235294,0.17279411764705882,0.1323529411764706,0.08823529411764706
7.5 to 8,40 to 50,277,90,74,16,2,52,22,21,0.3249097472924188,0.26714801444043323,0.05776173285198556,0.007220216606498195,0.18772563176895307,0.07942238267148015,0.07581227436823104
