bowler,dots_conc,singles_conc,doubles_conc,triples_conc,fours_conc,sixes_conc,wickets_conc,balls_bowled,dot_conc_prob,sing_conc_prob,doub_conc_prob,trip_conc_prob,four_conc_prob,six_conc_prob,wkt_conc_prob
Jacques Kallis,536,749,106,6,235,57,65,1754,0.3055872291904219,0.42702394526795895,0.060433295324971485,0.0034207525655644247,0.13397947548460662,0.03249714937286203,0.0370581527936146
Jasprit Bumrah,564,686,145,8,193,66,82,1744,0.32339449541284404,0.393348623853211,0.08314220183486239,0.004587155963302753,0.1106651376146789,0.037844036697247715,0.04701834862385322
Justin Kemp,12,20,2,0,6,1,3,44,0.2727272727272727,0.4545454545454545,0.045454545454545456,0.0,0.13636363636363635,0.022727272727272728,0.06818181818181818
Jason Holder,75,87,16,1,28,10,5,222,0.33783783783783783,0.3918918918918919,0.07207207207207207,0.0045045045045045045,0.12612612612612611,0.045045045045045036,0.022522522522522518
Joginder Sharma,59,127,17,0,35,16,12,266,0.22180451127819548,0.4774436090225564,0.06390977443609022,0.0,0.13157894736842105,0.06015037593984963,0.045112781954887216
JP Duminy,211,328,43,0,53,33,23,691,0.3053545586107091,0.4746743849493488,0.062228654124457314,0.0,0.07670043415340087,0.04775687409551375,0.03328509406657019
James Faulkner,338,486,123,5,159,65,59,1235,0.2736842105263158,0.39352226720647776,0.09959514170040486,0.004048582995951417,0.12874493927125505,0.05263157894736842,0.04777327935222672
Khaleel Ahmed,70,92,8,1,31,15,19,236,0.2966101694915254,0.3898305084745763,0.03389830508474576,0.00423728813559322,0.13135593220338984,0.0635593220338983,0.08050847457627118
Krishnappa Gowtham,110,157,18,0,49,15,11,360,0.3055555555555556,0.4361111111111111,0.05,0.0,0.1361111111111111,0.04166666666666666,0.030555555555555555
Kulwant Khejroliya,22,50,4,0,9,10,3,98,0.22448979591836732,0.5102040816326531,0.040816326530612235,0.0,0.09183673469387756,0.1020408163265306,0.030612244897959183
Keemo Paul,43,89,9,1,18,6,9,175,0.2457142857142857,0.5085714285714286,0.051428571428571435,0.005714285714285714,0.10285714285714287,0.03428571428571429,0.051428571428571435
Kagiso Rabada,124,155,33,1,58,15,31,417,0.2973621103117506,0.37170263788968827,0.07913669064748201,0.002398081534772182,0.13908872901678654,0.03597122302158273,0.07434052757793765
Kieron Pollard,271,633,96,2,139,63,56,1260,0.2150793650793651,0.5023809523809524,0.0761904761904762,0.0015873015873015873,0.11031746031746033,0.05,0.04444444444444445
Kemar Roach,20,16,3,0,10,3,0,52,0.38461538461538464,0.3076923076923077,0.0576923076923077,0.0,0.19230769230769232,0.0576923076923077,0.0
Krunal Pandya,261,479,64,2,78,33,39,956,0.2730125523012552,0.5010460251046025,0.06694560669456066,0.0020920502092050207,0.08158995815899582,0.034518828451882845,0.04079497907949791
Kyle Abbott,26,34,9,0,24,4,2,99,0.26262626262626265,0.3434343434343434,0.09090909090909093,0.0,0.24242424242424246,0.040404040404040414,0.020202020202020204
Kevon Cooper,151,244,62,0,59,23,33,572,0.26398601398601396,0.42657342657342656,0.1083916083916084,0.0,0.10314685314685317,0.040209790209790215,0.0576923076923077
Kevin Pietersen,47,91,11,1,10,9,7,176,0.2670454545454545,0.5170454545454546,0.0625,0.005681818181818182,0.05681818181818181,0.05113636363636364,0.03977272727272727
Kane Williamson,2,3,0,0,1,0,0,6,0.3333333333333333,0.5,0.0,0.0,0.16666666666666666,0.0,0.0
Kuldeep Yadav,207,398,60,2,61,61,39,828,0.25,0.4806763285024155,0.07246376811594203,0.0024154589371980675,0.07367149758454106,0.07367149758454106,0.04710144927536232
Karn Sharma,326,477,74,4,79,82,54,1096,0.2974452554744525,0.4352189781021898,0.06751824817518247,0.0036496350364963507,0.07208029197080291,0.07481751824817519,0.04927007299270073
Kane Richardson,106,114,22,1,35,23,18,319,0.3322884012539185,0.3573667711598746,0.06896551724137931,0.003134796238244514,0.10971786833855803,0.07210031347962383,0.056426332288401264
Liam Livingstone,3,1,0,0,0,2,0,6,0.5,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0
Lungisani Ngidi,63,62,3,0,13,6,11,158,0.3987341772151899,0.3924050632911392,0.0189873417721519,0.0,0.08227848101265822,0.0379746835443038,0.06962025316455696
Liam Plunkett,35,77,8,0,15,12,4,151,0.2317880794701987,0.5099337748344371,0.052980132450331126,0.0,0.09933774834437084,0.07947019867549669,0.026490066225165563
Lockie Ferguson,37,29,2,0,9,4,3,84,0.4404761904761905,0.34523809523809523,0.023809523809523808,0.0,0.10714285714285714,0.047619047619047616,0.03571428571428571
Luke Wright,12,42,4,0,5,9,2,74,0.16216216216216214,0.5675675675675675,0.054054054054054064,0.0,0.06756756756756757,0.12162162162162166,0.027027027027027032
Lendyl Simmons,1,10,2,0,2,2,1,18,0.05555555555555555,0.5555555555555556,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.05555555555555555
Ross Taylor,0,10,1,0,0,2,0,13,0.0,0.7692307692307693,0.07692307692307693,0.0,0.0,0.15384615384615385,0.0
Moeen Ali,80,103,11,0,16,13,9,232,0.3448275862068966,0.44396551724137934,0.047413793103448267,0.0,0.06896551724137931,0.05603448275862069,0.03879310344827586
Murugan Ashwin,116,202,32,1,40,20,15,426,0.2723004694835681,0.4741784037558686,0.07511737089201878,0.002347417840375587,0.09389671361502347,0.046948356807511735,0.035211267605633804
Merchant de Lange,34,43,5,1,21,4,5,113,0.3008849557522124,0.3805309734513274,0.04424778761061947,0.008849557522123894,0.18584070796460175,0.035398230088495575,0.04424778761061947
Murali Kartik,351,536,95,6,97,41,31,1157,0.30337078651685395,0.463267070008643,0.08210890233362142,0.0051858254105445105,0.08383751080380293,0.03543647363872083,0.02679343128781331
Mitun Manhas,15,21,2,1,2,1,0,42,0.35714285714285715,0.5,0.047619047619047616,0.023809523809523808,0.047619047619047616,0.023809523809523808,0.0
Mayank Markande,75,139,12,0,36,20,16,298,0.2516778523489933,0.4664429530201342,0.040268456375838924,0.0,0.12080536912751677,0.06711409395973154,0.053691275167785234
Morne Morkel,631,556,101,11,228,61,77,1665,0.378978978978979,0.33393393393393395,0.06066066066066066,0.006606606606606606,0.13693693693693693,0.03663663663663664,0.046246246246246236
Muttiah Muralitharan,535,657,104,3,104,66,63,1532,0.3492167101827676,0.42885117493472585,0.06788511749347259,0.0019582245430809398,0.06788511749347259,0.04308093994778068,0.041122715404699736
