rrr_ran,total_Score_range,over,wickets_fell,dot,sing,doub,triple,four,six,wicket,total,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob
>13,110 to 120,19,5,3,3,1,0,1,1,2,11,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182
>13,110 to 120,19,6,5,7,0,0,1,2,2,17,0.29411764705882354,0.4117647058823529,0.0,0.0,0.058823529411764705,0.11764705882352941,0.11764705882352941
>13,110 to 120,19,7,3,17,4,0,1,0,2,27,0.1111111111111111,0.6296296296296297,0.14814814814814814,0.0,0.037037037037037035,0.0,0.07407407407407407
>13,110 to 120,19,8,10,26,3,0,2,1,3,45,0.2222222222222222,0.5777777777777777,0.06666666666666667,0.0,0.044444444444444446,0.022222222222222223,0.06666666666666667
>13,110 to 120,19,9,13,17,3,0,0,2,6,41,0.3170731707317073,0.4146341463414634,0.07317073170731707,0.0,0.0,0.04878048780487805,0.14634146341463414
>13,110 to 120,19,10,0,0,0,0,0,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
>13,110 to 120,20,6,1,7,2,0,1,1,0,12,0.08333333333333333,0.5833333333333334,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.0
>13,110 to 120,20,7,0,5,1,0,0,0,1,7,0.0,0.7142857142857143,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285
>13,110 to 120,20,8,8,6,0,0,1,1,2,18,0.4444444444444444,0.3333333333333333,0.0,0.0,0.05555555555555555,0.05555555555555555,0.1111111111111111
>13,110 to 120,20,9,11,10,1,0,2,1,4,29,0.3793103448275862,0.3448275862068966,0.034482758620689655,0.0,0.06896551724137931,0.034482758620689655,0.13793103448275862
>13,110 to 120,20,10,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
>13,120 to 130,12,2,2,2,0,0,1,2,0,7,0.2857142857142857,0.2857142857142857,0.0,0.0,0.14285714285714285,0.2857142857142857,0.0
>13,120 to 130,12,3,0,1,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
>13,120 to 130,13,2,0,3,0,0,1,0,0,4,0.0,0.75,0.0,0.0,0.25,0.0,0.0
>13,120 to 130,13,3,2,2,0,1,1,0,0,6,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0
>13,120 to 130,13,4,1,2,0,0,1,1,1,6,0.16666666666666666,0.3333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
>13,120 to 130,13,5,0,5,1,0,0,0,0,6,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0
>13,120 to 130,14,2,3,8,0,0,1,0,0,12,0.25,0.6666666666666666,0.0,0.0,0.08333333333333333,0.0,0.0
>13,120 to 130,14,3,1,2,3,0,0,0,0,6,0.16666666666666666,0.3333333333333333,0.5,0.0,0.0,0.0,0.0
>13,120 to 130,14,4,7,7,0,0,5,3,0,22,0.3181818181818182,0.3181818181818182,0.0,0.0,0.22727272727272727,0.13636363636363635,0.0
